customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000848,356949,Sat Oct 14 12:05:09 +0000 2017,"@YahooCare So basically Im using an eye pad but I cannot read my mails from the mail icon. However, I am able to read them through the yahoo app &amp; web",1000847,YahooCare,Sat Oct 14 12:09:58 +0000 2017,@356949 Have you tried removing and re-adding the account from the app? That usually fixes a majority of issues like this.,
1000850,356949,Fri Oct 13 22:45:56 +0000 2017,@YahooCare I can't currently access emails via my app. However I can view them on the web. When will the app be fixed?,1000849,YahooCare,Sat Oct 14 10:56:32 +0000 2017,@356949 Which app/device are you using? Have you tried removing and re-adding the account? Does the Yahoo Mail app work for you?,1000848
1020614,361514,Thu Oct 12 12:32:04 +0000 2017,Troubleshooting Steps to Edit Portfolios with Your Yahoo Finance? by #Yahoohelpuk https://t.co/SFd2ceeMwy  #yahooSupport #YahooMail,1020612,YahooCare,Thu Oct 12 14:47:29 +0000 2017,@361514 WARNING - THEY ARE ILLEGALLY IMPERSONATING YAHOO SUPPORT - DO NOT CALL  @twittersupport @14736,1020613
106129,139494,Thu Nov 30 11:28:44 +0000 2017,@YahooCare My yahoomail is down. Safari can't find the server? Any idea when it will be up?,106126,YahooCare,Thu Nov 30 13:58:28 +0000 2017,"@139494 Hi Toni, what issues are you currently having with Yahoo Mail?","106127,106128"
107722,139927,Thu Nov 23 04:50:46 +0000 2017,@139935 @139936 @139937 Mine hasn't started working again yet... :-/,107713,YahooCare,Thu Nov 23 18:07:44 +0000 2017,"@139927 Hi Lisa, I'm sorry if you were having trouble with Yahoo Groups. Can you please let me know if you're still seeing the same issue? Thank you.","107714,107715,107716,107717,107718,107719,107720,107721"
107725,139927,Fri Nov 24 04:09:11 +0000 2017,@139931 @YahooCare We are too! Yay!!! 😊😄,107726,YahooCare,Sat Nov 25 00:00:33 +0000 2017,@139927 The issue should now be fixed.  Sorry for the delay.  Please let us know if this is not the case!,
107729,139927,Wed Nov 22 03:46:15 +0000 2017,@139936 @139937 My messages aren't going through even when I post them through the website as a new topic... Is there a bug?,107730,YahooCare,Wed Nov 22 14:02:57 +0000 2017,@139927 Sorry to hear you're having trouble with Yahoo Groups. Please DM us and let us know the best email address to reach you at for support.,"628687,628688"
107730,YahooCare,Wed Nov 22 14:02:57 +0000 2017,@139927 Sorry to hear you're having trouble with Yahoo Groups. Please DM us and let us know the best email address to reach you at for support.,628688,YahooCare,Wed Nov 22 15:32:26 +0000 2017,"@139927 Sorry to hear you're having trouble with Yahoo Groups. Please DM us and let us know the group URL you're having trouble with, and the best email address to reach you at for support.",
107736,139939,Thu Nov 23 01:27:53 +0000 2017,@YahooCare i am still getting someone elses email. This needs to stop.,107733,YahooCare,Thu Nov 23 16:30:53 +0000 2017,@139939 Please DM us your Yahoo ID. Thanks!,"107734,107735"
107739,139941,Thu Nov 23 02:56:45 +0000 2017,"@YahooCare One of my emails is not working at all. I have two with you guys and one works fine, but the other one I actually need to use will not pull up any mail on any device I try.",107737,YahooCare,Thu Nov 23 13:13:21 +0000 2017,@139941 Please DM us your Yahoo ID. Thanks!,107738
1080718,374939,Fri Oct 13 13:06:25 +0000 2017,@YahooCare cant login to my account.Need help .Your free helpline number 1855 777 1707 is always busy.Please help.,1080717,YahooCare,Fri Oct 13 14:19:44 +0000 2017,@374939 Hi - we do not have a free helpline - that is a fraudulent number.  For login issues please go to https://t.co/hFCdD2GN3m,
1080721,374940,Fri Oct 13 09:26:08 +0000 2017,"@YahooCare Hi! I have a problem - people are not receiving my emails, but I see them in my sent folder. please advise!",1080719,YahooCare,Fri Oct 13 13:31:46 +0000 2017,"@374940 Hi Dina, are you still seeing this issue when sending?",1080720
1086882,376379,Fri Oct 13 15:43:47 +0000 2017,"@YahooCare can receive but can't send any, what's happening ? ty",1086880,YahooCare,Fri Oct 13 18:11:52 +0000 2017,"@376379 Hi Adrian. If you DM us your Yahoo ID, we can check into this more for you.",1086881
1088602,376781,Mon Oct 23 14:48:01 +0000 2017,"Shut Down a #Yahoo Mail Account By Following Steps...... #techsupport #yahoohelp #yahoosupport
https://t.co/NxZWC9qW1L",1088600,YahooCare,Mon Oct 23 16:52:31 +0000 2017,@376781 SCAM WARNING:  THEY ARE NOT #YAHOOSUPPORT (IF YOU NEED TO KNOW HOW TO SHUT DOWN AN ACCOUNT GO TO https://t.co/S6hNxcTKpF),1088601
1088604,376783,Mon Oct 23 08:51:23 +0000 2017,.@YahooCare a) is this real and if so b) could you have phrased it any friendlier? c) what is “now”? When does suspension occur? ☹️👀 https://t.co/cLDJ9GMISC,1088605,YahooCare,Mon Oct 23 13:57:55 +0000 2017,"@376783 If you're having trouble with your Yahoo address, please Follow/DM us with your Yahoo ID, and a good contact email for us to reach out.",1898432
1088604,376783,Mon Oct 23 08:51:23 +0000 2017,.@YahooCare a) is this real and if so b) could you have phrased it any friendlier? c) what is “now”? When does suspension occur? ☹️👀 https://t.co/cLDJ9GMISC,1088603,YahooCare,Mon Oct 23 13:57:04 +0000 2017,@376783 Hey there! The best way to tell real versus fake communications from Yahoo can be found here. https://t.co/zC1S1CcQv2,
